Metrics Server Information
Tue Mar 17 15:52:13 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:14 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:15 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:15 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:16 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:17 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:17 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:18 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:18 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:19 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:20 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:20 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:21 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:21 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:22 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:23 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:23 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:24 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:24 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:25 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:26 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:26 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:27 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:28 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:28 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:29 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:29 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:30 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:31 UTC 2020 jcoll-57cb75bf96-smdq6    1m           21Mi            
Tue Mar 17 15:52:31 UTC 2020 jcoll-57cb75bf96-smdq6    1m           35Mi            
