Metrics Server Information
Fri Mar 13 12:18:03 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:04 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:04 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:05 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:06 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:06 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:07 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:07 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:08 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:09 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:09 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:10 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:10 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:11 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:12 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:12 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:13 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:14 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:14 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:15 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:15 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:16 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:17 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:17 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:18 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:18 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:19 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:20 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
Fri Mar 13 12:18:20 UTC 2020 vflow-6bf66b7758-sm8k9                            1m           6Mi             
