Metrics Server Information
Fri Mar 13 15:39:19 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:20 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:21 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:21 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:22 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:22 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:23 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:24 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:24 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:25 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:26 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:26 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:27 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:27 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:28 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:29 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:29 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:30 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:31 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:31 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:32 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:32 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:33 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:34 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:34 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:35 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:36 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:37 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:38 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:38 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:39 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:40 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:40 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:41 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:41 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:42 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:43 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:43 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:44 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:45 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:45 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:46 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
Fri Mar 13 15:39:46 UTC 2020 netflow-pycoll-688444495b-4c9sj                   1m           5Mi             
